(117, 'Ryzen 5 7600X3D', 'AMD Socket AM5', 16.05, '6 / 12', 2024, '65 W')
(118, 'Ryzen 7 5800', 'AMD Socket AM4', 16.05, '8 / 16', 2020, '65 W')
(119, 'Core i9-7940X', 'FCLGA2066', 16.02, '14 / 28', 2017, '165 W')
(120, 'Core i5-14400F', 'FCLGA1700', 16.0, '10 / 16', 2024, '65 W')
(121, 'Core i5-14400', 'FCLGA1700', 15.82, '10 / 16', 2024, '65 W')
(122, 'Ryzen 5 8600G', 'AMD Socket AM5', 15.8, '6 / 12', 2024, '65 W')
(123, 'Ryzen Threadripper 2920X', 'AMD Socket SP3r2', 15.71, '12 / 24', 2018, '180 W')
(124, 'Core i9-11900K', 'FCLGA1200', 15.65, '8 / 16', 2021, '125 W')
(125, 'Core i5-13400F', 'FCLGA1700', 15.65, '10 / 16', 2023, '65 W')
(126, 'Core i9-9920X', 'FCLGA2066', 15.64, '12 / 24', 2018, '165 W')
(127, 'Core i9-11900KF', 'FCLGA1200', 15.49, '8 / 16', 2021, '125 W')
(128, 'Ryzen 7 5700G', 'AMD Socket AM4', 15.28, '8 / 16', 2021, '65 W')
(129, 'Core i7-11700K', 'FCLGA1200', 15.26, '8 / 16', 2021, '125 W')
(130, 'Ryzen 7 PRO 5750G', 'AMD Socket AM4', 15.17, '8 / 16', 2021, '65 W')
(131, 'Ryzen 7 5700', 'AMD Socket AM4', 15.17, '8 / 16', 2022, '65 W')
(132, 'Ryzen 5 8400F', 'AMD Socket AM5', 15.17, '6 / 12', 2024, '65 W')
(133, 'Core i7-11700KF', 'FCLGA1200', 14.88, '8 / 16', 2021, '125 W')
(134, 'Core i9-7920X', 'FCLGA2066', 14.77, '12 / 24', 2017, '140 W')
(135, 'Ryzen 7 3800XT', 'AMD Socket AM4', 14.71, '8 / 16', 2020, '105 W')
(136, 'Core i5-13400', 'FCLGA1700', 14.61, '10 / 16', 2023, '65 W')
(137, 'Core i7-13700TE', 'Intel Socket 1700', 14.56, '16 / 24', 2023, '35 W')
(138, 'Core i5-14500T', 'FCLGA1700', 14.47, '14 / 20', 2024, '35 W')
(139, 'Ryzen 7 3800X', 'AMD Socket AM4', 14.4, '8 / 16', 2019, '105 W')
(140, 'Core i5-13500T', 'FCLGA1700', 14.37, '14 / 20', 2023, '35 W')
(141, 'Ryzen Threadripper 1920X', 'AMD Socket SP3r2', 14.36, '12 / 24', 2017, '180 W')
