['552', 'Ryzen Threadripper 1950', 'desktop', 'AMD Socket SP3r2', '13.78', '16 / 32', '2017', '180 W']
['553', 'Ryzen Threadripper 1920', 'desktop', 'AMD Socket SP3r2', '13.77', '12 / 24', '2017', '140 W']
['554', 'Core i5-14400T', 'desktop', 'FCLGA1700', '13.70', '10 / 16', '2024', '35 W']
['555', 'Ryzen 5 5600X3D', 'desktop', 'AMD Socket AM4', '13.67', '6 / 12', '2023', '105 W']
['556', 'Ryzen 5 5600X', 'desktop', 'AMD Socket AM4', '13.65', '6 / 12', '2020', '65 W']
['562', 'Ryzen 7 PRO 5750GE', 'desktop', 'AMD Socket AM4', '13.57', '8 / 16', '2021', '35 W']
['564', 'Core i9-9900X', 'desktop', 'FCLGA2066', '13.54', '10 / 20', '2018', '165 W']
['568', 'Core i5-13500TE', 'desktop', 'Intel Socket 1700', '13.52', '14 / 20', '2023', '35 W']
['572', 'Core i5-12600', 'desktop', 'FCLGA1700', '13.47', '6 / 12', '2022', '65 W']
['573', 'Ryzen 5 5600', 'desktop', 'AMD Socket AM4', '13.46', '6 / 12', '2022', '65 W']
['578', 'Core i9-10910', 'desktop', 'FCLGA1200', '13.38', '10 / 20', '2020', '125 W']
['580', 'Core i7-12700T', 'desktop', 'FCLGA1700', '13.31', '12 / 20', '2022', '35 W']
['586', 'Core i9-7900X', 'desktop', 'FCLGA2066', '13.14', '10 / 20', '2017', '140 W']
['594', 'Core i7-11700F', 'desktop', 'FCLGA1200', '13.03', '8 / 16', '2021', '65 W']
['600', 'Core i7-11700', 'desktop', 'FCLGA1200', '12.94', '8 / 16', '2021', '65 W']
['602', 'Ryzen 5 PRO 5650G', 'desktop', 'AMD Socket AM4', '12.92', '6 / 12', '2021', '65 W']
['603', 'Core i5-12500E', 'desktop', 'Intel Socket 1700', '12.92', '6 / 12', '2022', '65 W']
['615', 'Core i9-9820X', 'desktop', 'FCLGA2066', '12.75', '10 / 20', '2018', '165 W']
['617', 'Core i5-13400T', 'desktop', 'FCLGA1700', '12.74', '10 / 16', '2023', '35 W']
['619', 'Ryzen 7 PRO 4750G', 'desktop', 'AMD Socket AM4', '12.72', '8 / 16', '2020', '65 W']
['627', 'Ryzen 5 5500GT', 'desktop', 'AMD Socket AM4', '12.66', '6 / 12', '2024', '65 W']
['630', 'Ryzen 5 5600GT', 'desktop', 'AMD Socket AM4', '12.64', '6 / 12', '2024', '65 W']
['631', 'Ryzen Embedded V3C48', 'desktop', 'AMD Socket FP7', '12.61', '8 / 16', '2022', '45 W']
['633', 'Core i5-12490F', 'desktop', 'Intel Socket 1700', '12.58', '6 / 12', '2022', '65 W']
['634', 'Ryzen 7 4700G', 'desktop', 'AMD Socket AM4', '12.57', '8 / 16', '2020', '65 W']
['643', 'Core i5-12500', 'desktop', 'FCLGA1700', '12.40', '6 / 12', '2022', '65 W']
['644', 'Ryzen 5 5600G', 'desktop', 'AMD Socket AM4', '12.38', '6 / 12', '2021', '65 W']
['645', 'Core i9-10900F', 'desktop', 'FCLGA1200', '12.37', '10 / 20', '2020', '65 W']
['648', 'Ryzen 7 4700GE', 'desktop', 'AMD Socket AM4', '12.34', '8 / 16', '2020', '35 W']
['653', 'Core i9-10900', 'desktop', 'FCLGA1200', '12.24', '10 / 20', '2020', '65 W']
['654', 'Core i5-11600KF', 'desktop', 'FCLGA1200', '12.21', '6 / 12', '2021', '125 W']
['655', 'Core i5-11600K', 'desktop', 'FCLGA1200', '12.21', '6 / 12', '2021', '125 W']
['657', 'Core i5-12400F', 'desktop', 'FCLGA1700', '12.16', '6 / 12', '2022', '65 W']
['658', 'Core i9-10900E', 'desktop', 'Intel Socket 1200', '12.15', '10 / 20', '2020', '65 W']
['659', 'Core i9-9900KS', 'desktop', 'FCLGA1151', '12.14', '8 / 16', '2019', '127 W']
['665', 'Ryzen 5 5500', 'desktop', 'AMD Socket AM4', '12.08', '6 / 12', '2022', '65 W']
['668', 'Core i5-12400', 'desktop', 'FCLGA1700', '12.02', '6 / 12', '2022', '65 W']
['678', 'Core i9-11900T', 'desktop', 'FCLGA1200', '11.82', '8 / 16', '2021', '35 W']
['688', 'Core i7-10700K', 'desktop', 'FCLGA1200', '11.67', '8 / 16', '2020', '125 W']
['692', 'Ryzen 5 5600GE', 'desktop', 'Socket AM4', '11.62', '6 / 12', '−', '35 W']
['693', 'Ryzen 5 3600XT', 'desktop', 'AMD Socket AM4', '11.62', '6 / 12', '2019', '95 W']
['696', 'Core i7-10700KF', 'desktop', 'FCLGA1200', '11.54', '8 / 16', '2020', '125 W']
['700', 'Ryzen 7 PRO 4750GE', 'desktop', 'AMD Socket AM4', '11.52', '8 / 16', '2020', '35 W']
['706', 'Ryzen 5 PRO 5650GE', 'desktop', 'AMD Socket AM4', '11.45', '6 / 12', '2021', '35 W']
['715', 'Core i9-9900K', 'desktop', 'FCLGA1151', '11.37', '8 / 16', '2018', '95 W']
['716', 'Core i9-9900KF', 'desktop', 'FCLGA1151', '11.36', '8 / 16', '2019', '95 W']
['717', 'Ryzen 5 3600X', 'desktop', 'AMD Socket AM4', '11.35', '6 / 12', '2019', '95 W']
['721', 'Core i7-9800X', 'desktop', 'FCLGA2066', '11.29', '8 / 16', '2018', '165 W']
['725', 'Core i5-11600', 'desktop', 'FCLGA1200', '11.24', '6 / 12', '2021', '65 W']
['732', 'Ryzen 5 3600', 'desktop', 'AMD Socket AM4', '11.06', '6 / 12', '2019', '65 W']
['734', 'Core i5-12600T', 'desktop', 'FCLGA1700', '11.03', '6 / 12', '2022', '35 W']
['738', 'Ryzen 7 2700X', 'desktop', 'AMD Socket AM4', '10.92', '8 / 16', '2018', '105 W']
['743', 'Core i7-6950X', 'desktop', 'FCLGA2011', '10.88', '10 / 20', '2016', '140 W']
['749', 'Core i5-11500', 'desktop', 'FCLGA1200', '10.76', '6 / 12', '2021', '65 W']
['752', 'Core i7-12700TE', 'desktop', 'Intel Socket 1700', '10.73', '12 / 20', '2022', '35 W']
['754', 'Core i7-7820X', 'desktop', 'FCLGA2066', '10.70', '8 / 16', '2017', '140 W']
['757', 'Ryzen Embedded V3C18I', 'desktop', 'AMD Socket FP7', '10.64', '8 / 16', '2022', '15 W']
['761', 'Core i5-11400', 'desktop', 'FCLGA1200', '10.59', '6 / 12', '2021', '65 W']
['763', 'Core i5-11400F', 'desktop', 'FCLGA1200', '10.59', '6 / 12', '2021', '65 W']
['764', 'Ryzen 7 PRO 2700X', 'desktop', 'Socket AM4', '10.59', '8 / 16', '2018', '105 W']
['769', 'Ryzen Threadripper 1900X', 'desktop', 'AMD Socket SP3r2', '10.49', '8 / 16', '2017', '125 W']
['774', 'Ryzen Embedded V2748', 'desktop', 'AMD Socket FP6', '10.43', '8 / 16', '2020', '35 W']
['779', 'Core i5-12500T', 'desktop', 'FCLGA1700', '10.31', '6 / 12', '2022', '35 W']
['784', 'Core i9-9900', 'desktop', 'FCLGA1151', '10.22', '8 / 16', '2019', '65 W']
['785', 'Ryzen 7 1800X', 'desktop', 'AMD Socket AM4', '10.20', '8 / 16', '2017', '95 W']
['786', 'Core i7-10700F', 'desktop', 'FCLGA1200', '10.18', '8 / 16', '2020', '125 W']
['788', 'Core i7-10700', 'desktop', 'FCLGA1200', '10.17', '8 / 16', '2020', '65 W']
['793', 'Ryzen Embedded V2546', 'desktop', 'AMD Socket FP6', '10.13', '6 / 12', '2020', '35 W']
['796', 'Ryzen 5 PRO 4650G', 'desktop', 'AMD Socket AM4', '10.08', '6 / 12', '2020', '65 W']
['797', 'Ryzen 5 4500', 'desktop', 'AMD Socket AM4', '10.06', '6 / 12', '2022', '65 W']
['799', 'Ryzen 5 PRO 4655G', 'desktop', 'AMD Socket AM4', '10.04', '6 / 12', '2022', '65 W']
['800', 'Ryzen Embedded V2718', 'desktop', 'AMD Socket FP6', '10.03', '8 / 16', '2020', '10 W']
['801', 'Ryzen 5 4600G', 'desktop', 'AMD Socket AM4', '10.02', '6 / 12', '2020', '65 W']
['803', 'Core i5-12400T', 'desktop', 'FCLGA1700', '9.95', '6 / 12', '2022', '35 W']
['807', 'Ryzen 5 4600GE', 'desktop', 'AMD Socket AM4', '9.85', '6 / 12', '2020', '35 W']
['814', 'Ryzen 7 2700', 'desktop', 'AMD Socket AM4', '9.79', '8 / 16', '2018', '65 W']
['816', 'Ryzen 7 1700X', 'desktop', 'AMD Socket AM4', '9.77', '8 / 16', '2017', '95 W']
['818', 'Core i7-11700T', 'desktop', 'FCLGA1200', '9.74', '8 / 16', '2021', '35 W']
['822', 'Ryzen 5 PRO 4650GE', 'desktop', 'AMD Socket AM4', '9.67', '6 / 12', '2020', '35 W']
['825', 'Core i3-14100F', 'desktop', 'FCLGA1700', '9.60', '4 / 8', '2024', '58 W']
['829', 'Ryzen 7 PRO 2700', 'desktop', 'Socket AM4', '9.55', '8 / 16', '2018', '65 W']
['832', 'Core i3-14100', 'desktop', 'FCLGA1700', '9.46', '4 / 8', '2024', '60 W']
['847', 'Core i9-10900T', 'desktop', 'FCLGA1200', '9.25', '10 / 20', '2020', '35 W']
['849', 'Ryzen 7 1700', 'desktop', 'AMD Socket AM4', '9.24', '8 / 16', '2017', '65 W']
['856', 'Ryzen 3 PRO 8300GE', 'desktop', 'AMD Socket AM5', '9.19', '4 / 8', '2024', '35 W']
['861', 'Ryzen 7 2700E', 'desktop', 'AMD Socket AM4', '9.15', '8 / 16', '2018', '65 W']
['862', 'Core i9-13900TE', 'desktop', 'Intel Socket 1700', '9.15', '24 / 32', '2023', '35 W']
['863', 'Core i3-13100F', 'desktop', 'FCLGA1700', '9.14', '4 / 8', '2023', '58 W']
['865', 'Core i9-10900TE', 'desktop', 'Intel Socket 1200', '9.12', '10 / 20', '2020', '35 W']
['867', 'Ryzen 3 PRO 8300G', 'desktop', 'AMD Socket AM5', '9.07', '4 / 8', '2024', '65 W']
['871', 'Core i3-12300', 'desktop', 'FCLGA1700', '9.06', '4 / 8', '2022', '60 W']
['874', 'Core i7-9700K', 'desktop', 'FCLGA1151', '9.01', '8 / 8', '2018', '95 W']
['875', 'Ryzen 5 PRO 4655GE', 'desktop', 'AMD Socket AM4', '9.01', '6 / 12', '2022', '35 W']
['876', 'Core i7-6900K', 'desktop', 'FCLGA2011', '9.01', '8 / 16', '2016', '140 W']
['880', 'Core i5-11600T', 'desktop', 'FCLGA1200', '8.99', '6 / 12', '2021', '35 W']
['882', 'Core i5-12500TE', 'desktop', 'Intel Socket 1700', '8.98', '6 / 12', '2022', '35 W']
['883', 'Ryzen 3 8300G', 'desktop', 'AMD Socket AM5', '8.97', '4 / 8', '2024', '65 W']
['887', 'Core i5-10600K', 'desktop', 'FCLGA1200', '8.92', '6 / 12', '2020', '125 W']
['892', 'Core i3-12100E', 'desktop', 'Intel Socket 1700', '8.89', '4 / 8', '2022', '60 W']
['895', 'Core i7-9700KF', 'desktop', 'FCLGA1151', '8.88', '8 / 8', '2019', '95 W']
['898', 'Core i5-10600KF', 'desktop', 'FCLGA1200', '8.85', '6 / 12', '2020', '95 W']
['899', 'Core i7-8086K', 'desktop', 'Intel Socket 1151', '8.85', '6 / 12', '2018', '95 W']
['900', 'Core i3-12100F', 'desktop', 'FCLGA1700', '8.78', '4 / 8', '2022', '58 W']
['905', 'Ryzen 5 2600X', 'desktop', 'AMD Socket AM4', '8.67', '6 / 12', '2018', '95 W']
['908', 'Ryzen 3 PRO 5350G', 'desktop', 'AMD Socket AM4', '8.63', '4 / 8', '2021', '65 W']
